text,label,train_or_val
I'd like to have this track onto my Classical Relaxations playlist.,AddToPlaylist,val
Add the album to my Flow Español playlist.,AddToPlaylist,val
add digging now to my Young at Heart playlist,AddToPlaylist,val
add this song by Too Poetic to my Piano Ballads playlist,AddToPlaylist,val
Add this album to Old School Death Metal,AddToPlaylist,val
I need to add baro ferret to the Urban Hits under my name,AddToPlaylist,val
Add the album to the Might and Myth Power Metal playlist.,AddToPlaylist,val
"To the travelling playlist, please add this David Gahan song.",AddToPlaylist,val
Please add some Pete Townshend to my playlist Fiesta Hits con Lali,AddToPlaylist,val
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,AddToPlaylist,val
Add Recalled to Life to This Is Alejandro Fernández,AddToPlaylist,val
add nuba to my Metal Party playlist,AddToPlaylist,val
Add jo stafford music to the workout twerkout playlist,AddToPlaylist,val
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,AddToPlaylist,val
Add the song virales de siempre by the cary brothers to my gym playlist.,AddToPlaylist,val
"Onto jerry's Classical Moments in Movies, please add the album.",AddToPlaylist,val
add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Café,AddToPlaylist,val
"Add Jerry Calliste, Jr to my Te quiero playlist.",AddToPlaylist,val
Add porter wagoner to the The Sleep Machine Waterscapes playlist.,AddToPlaylist,val
Add the artist mike to the Sexy as Folk playlist.,AddToPlaylist,val
Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify,AddToPlaylist,val
Add Andy Hunter to my Evening Commute playlist.,AddToPlaylist,val
Put petar georgiev kalica onto the Old School Hip Hop playlist.,AddToPlaylist,val
Can you add Larry Heard to my laundry playlist?,AddToPlaylist,val
Put Vandemataram Srinivas's track onto HipHop Hot 50.,AddToPlaylist,val
Add millie corretjer to the rhythm playlist,AddToPlaylist,val
Add give us rest to my 70s Smash Hits playlist.,AddToPlaylist,val
add this track to my Hands Up playlist,AddToPlaylist,val
I'd like for you to add bobby brown to my enamorándose playlist.,AddToPlaylist,val
add Jonathan Sprout album to my this is miranda lambert playlist,AddToPlaylist,val
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,AddToPlaylist,val
Add the album to the The Sweet Suite playlist.,AddToPlaylist,val
Add sarah slean to my playlist Mellowed Out Gaming,AddToPlaylist,val
Add this album to the Spanish Beat playlist,AddToPlaylist,val
Add lofty fake anagram to the la mejor música de bso playlist.,AddToPlaylist,val
Add the track to the work playlist.,AddToPlaylist,val
Add a song to this is racionais mc's,AddToPlaylist,val
add track in my,AddToPlaylist,val
playlist called Hands Up,AddToPlaylist,val
Can you put this song from Yutaka Ozaki onto my this is miles davis playlist?,AddToPlaylist,val
Add a track to playlist Cena con Amigos,AddToPlaylist,val
Add The Famous Flower of Serving-Men to my evening acoustic playlist.,AddToPlaylist,val
Add a song to Indie Hipster,AddToPlaylist,val
Add the 40 cal tune to the laundry playlist.,AddToPlaylist,val
Add the album to my Perfect Concentration playlist.,AddToPlaylist,val
Add the Matt Murphy tune to the Flow Español playlist.,AddToPlaylist,val
add A Very Cellular Song to masters of metal playlist,AddToPlaylist,val
Can I put this tune onto my sin estrés playlist?,AddToPlaylist,val
I'd like to add jordan rudess onto the Divertido para niños playlist.,AddToPlaylist,val
Add kent james to the disney soundtrack.,AddToPlaylist,val
Add the artist Adam Deibert to my Perfect Concentration playlist.,AddToPlaylist,val
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,AddToPlaylist,val
Add the album to the hot 50 playlist.,AddToPlaylist,val
add the artist Pete Murray to my relaxing playlist,AddToPlaylist,val
Add the track to the drum & breaks playlist.,AddToPlaylist,val
For my fantastic workout can you add sara bareilles?,AddToPlaylist,val
Add the boy george track to the Emo Forever playlist.,AddToPlaylist,val
Add Ted Heath to the road trip playlist.,AddToPlaylist,val
Can you add last of the ghetto astronauts to the playlist called black sabbath the dio years?,AddToPlaylist,val
Add this artist to Showstopper Being Mary Jane,AddToPlaylist,val
put the artist onto Top Latin Alternative.,AddToPlaylist,val
Add Michael Wittig music to Country Icon playlist,AddToPlaylist,val
add Highway Patrolman in my playlist this is al green,AddToPlaylist,val
Add Richard McNamara newest song to the Just Smile playlist,AddToPlaylist,val
Add Annesley Malewana album to playlist indietronic,AddToPlaylist,val
Add the artist to my dishwashing playlist.,AddToPlaylist,val
Add this artist to fairy tales playlist,AddToPlaylist,val
add Muzika za decu to my Crash Course playlist,AddToPlaylist,val
Add a derek watkins tune to This Is Johnny Cash,AddToPlaylist,val
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,AddToPlaylist,val
add the current track to my This Is Tchaikovsky playlist,AddToPlaylist,val
Put abe laboriel onto the Escapada playlist.,AddToPlaylist,val
add abacab to beryl's party on fridays playlist,AddToPlaylist,val
Please add this track by Paul McGuigan to the Deep House playlist.,AddToPlaylist,val
can you add the current tune to my Calm before the storm playlist,AddToPlaylist,val
Please add The image of you to my playlist Crate Diggers Anonymous,AddToPlaylist,val
Add a track to Jazzy Dinner,AddToPlaylist,val
Add the album to the Hipster Soul playlist.,AddToPlaylist,val
add this tune to my Sleepify playlist,AddToPlaylist,val
Add jack white to my playlist This Is Shakira,AddToPlaylist,val
add tommy johnson to The MetalSucks Playlist,AddToPlaylist,val
Add the chris clark tune to my women of the blues playlist.,AddToPlaylist,val
Add an artist to Jukebox Boogie Rhythm & Blues,AddToPlaylist,val
add this artist to my Electronic Bliss playlist,AddToPlaylist,val
I need to add to my Infinite Indie Folk list the works of Rahim Shah,AddToPlaylist,val
Add martin barre to my punk unplugged playlist.,AddToPlaylist,val
add tierney sutton to my Novedades Viernes Sudamérica playlist,AddToPlaylist,val
Add this tune to dorthy's 80's party playlist,AddToPlaylist,val
A Very Cellular Song needs to be added to my masters of metal playlist,AddToPlaylist,val
Add Toyan to my Epic Gaming playlist.,AddToPlaylist,val
Add the song to the Mac 'N Cheese playlist.,AddToPlaylist,val
add this artist to my spotlight on country 2016 playlist,AddToPlaylist,val
Add a song to my playlist madden nfl 16,AddToPlaylist,val
Add emilie autumn to my Nação Reggae playlist.,AddToPlaylist,val
add Farhad Darya songs in virales de siempre,AddToPlaylist,val
add a song in my All Out 60s,AddToPlaylist,val
add we have a theme song to my House Afterwork playlist,AddToPlaylist,val
add the song to my We Everywhere playlist,AddToPlaylist,val
Add Roel van Velzen to my party of the century playlist.,AddToPlaylist,val
Add the artist to the political punks playlist.,AddToPlaylist,val
Add the album to my Club Hits playlist.,AddToPlaylist,val
Book a reservation for my babies and I,BookRestaurant,val
Book a reservation for a restaurant not far from MA,BookRestaurant,val
I would like to book a restaurant in Tanzania that is within walking distance for my mom and I,BookRestaurant,val
Book a reservation for an oyster bar,BookRestaurant,val
